,,BTC
,close,daily_return
time,,
2015-05-07,236.85,0.030589157
2015-05-08,243.66,0.028752375
2015-05-09,241.53,-0.008741689
2015-05-10,239.55,-0.008197739
2015-05-11,241.85,0.009601336
2015-05-12,241.52,-0.001364482
2015-05-13,235.48,-0.025008281
2015-05-14,236.7,0.005180907
2015-05-15,236.99,0.00122518
2015-05-16,235.98,-0.004261783
2015-05-17,236.08,0.000423765
2015-05-18,232.48,-0.015249068
2015-05-19,231.94,-0.00232278
2015-05-20,234.05,0.00909718
2015-05-21,235.42,0.00585345
2015-05-22,240.94,0.023447456
2015-05-23,239.03,-0.007927285
2015-05-24,241.24,0.009245701
2015-05-25,237.44,-0.015751948
2015-05-26,237.5,0.000252695
2015-05-27,237.23,-0.001136842
2015-05-28,237.49,0.001095983
2015-05-29,237.07,-0.001768496
2015-05-30,233.46,-0.01522757
2015-05-31,229.68,-0.01619121
2015-06-01,223.32,-0.0276907
2015-06-02,225.74,0.010836468
2015-06-03,225.48,-0.001151768
2015-06-04,224.17,-0.005809828
2015-06-05,224.74,0.002542713
2015-06-06,225.29,0.002447272
2015-06-07,223.62,-0.007412668
2015-06-08,228.7,0.022717109
2015-06-09,229.53,0.003629209
2015-06-10,229,-0.002309066
2015-06-11,229.93,0.004061135
2015-06-12,230.52,0.002565998
2015-06-13,232.63,0.009153219
2015-06-14,233.67,0.004470619
2015-06-15,237.2,0.015106775
2015-06-16,250.47,0.055944351
2015-06-17,247.69,-0.011099134
2015-06-18,248.55,0.003472082
2015-06-19,243,-0.022329511
2015-06-20,245.48,0.010205761
2015-06-21,244,-0.006029004
2015-06-22,247.28,0.013442623
2015-06-23,243.85,-0.013870916
2015-06-24,240.54,-0.013573918
2015-06-25,242.48,0.008065187
2015-06-26,242.48,0
2015-06-27,250.62,0.033569779
2015-06-28,248.35,-0.009057537
2015-06-29,256.3,0.032011274
2015-06-30,262.41,0.023839251
2015-07-01,257.51,-0.018673069
2015-07-02,254.65,-0.011106365
2015-07-03,255.16,0.002002749
2015-07-04,260.42,0.020614516
2015-07-05,271.04,0.040780278
2015-07-06,268.6,-0.009002361
2015-07-07,265.38,-0.011988086
