,,LTC
Date,close,daily_return
3/10/2021,200.52,-0.015321155
3/11/2021,201.25,0.003640535
3/12/2021,220.83,0.097291925
3/13/2021,226.58,0.026038129
3/14/2021,215.3,-0.049783741
3/15/2021,201.26,-0.065211333
3/16/2021,201.04,-0.001093113
3/17/2021,206.07,0.025019897
3/18/2021,200.54,-0.026835541
3/19/2021,201.06,0.002592999
3/20/2021,200.81,-0.00124341
3/21/2021,196.43,-0.021811663
3/22/2021,187.08,-0.047599654
3/23/2021,187.39,0.001657045
3/24/2021,177.65,-0.05197716
3/25/2021,173.06,-0.025837321
3/26/2021,184.28,0.064833006
3/27/2021,184.83,0.002984589
3/28/2021,185.03,0.001082075
3/29/2021,194.47,0.051018754
3/30/2021,196.68,0.011364221
3/31/2021,197.5,0.004169209
4/1/2021,204.11,0.033468354
4/2/2021,213.23,0.044681789
4/3/2021,197.15,-0.075411527
4/4/2021,204.04,0.034948009
4/5/2021,221.07,0.083464027
4/6/2021,237.66,0.075044104
4/7/2021,219.42,-0.076748296
4/8/2021,227,0.03454562
4/9/2021,221.86,-0.022643172
4/10/2021,255.62,0.152168034
